Professor,Keywords
John Lee,Designing for the elderly; Displays and controls; Driver behavior; Sensory and perceptual processes; Simulation and virtual reality
John Lee,autonomous agents; human-automation interaction; team collaboration; technology acceptance; trust in automation
John Lee,Distraction; Driving; Error; Interruption; Multitasking; Task switching
John Lee,
John Lee,
John Lee,face tracking; head pose estimation; video analytics
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,attentional processes; cognition; crashes; decision making; distractions and interruptions; human error
John Lee,eHealth; Gerontology; Older adults; Technology
John Lee,Adaptive cruise control; Driver behavior; Transfer of control; Vehicle control automation
John Lee,
John Lee,
John Lee,
John Lee,Automation; Calibration; Distraction; Driving; Information selection and utilization; Lens model; Young/novice drivers
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,Distraction; Driver performance; In-vehicle information systems (IVISs); Texting
John Lee,cluster visualization; crash analysis; Ford/Firestone tire recall; free-response data analysis; hierarchical clustering; latent semantic analysis; LSA; Toyota unintended acceleration; vehicle failures; vehicle technology
John Lee,Drowsiness detection; Lane departure; Machine learning; Random forest; Steering wheel angle
John Lee,Aging; Augmented reality; Displays; Driver behavior; Left-turns; UFOV
John Lee,design strategies; designing for older adults; emotional design; medical/health products; product design methods; user-centered design
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,aging and individual differences; displays and controls; driver behavior; psychomotor processes; sensory and perceptual processes; simulation and virtual reality
John Lee,Accident causation; Active safety; Field operational test; Impact assessment; Intelligent transportation systems; Naturalistic data analysis; Traffic and vehicle safety
John Lee,Driver distraction; driving performance; eye movement; eye-steering coordination; secondary task; time series analysis
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,algorithm development; distraction estimation; driver distraction; eye-glance patterns
John Lee,"Automation, promises and pitfalls; Emerging challenges; Human factors and ergonomics; Representation aiding, multimodal feedback; Strategies, enhancing human-automation"
John Lee,
John Lee,
John Lee,Data Analysis; Data Reduction; Data Verification; Pilot Testing; Research Process; Scenario Development; Software Development; Visualization
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,
John Lee,Engineering; HCI; Humancomputer interaction; Models; Society; Solutions; Systems
Laura Albert,Bi-objective optimization; Cyber-security; Information and communication technology security; Risk management; Risk threshold; Supply chain security
Laura Albert,Emergency medical service; Relocation and districting problems; Tabu search heuristic
Laura Albert,Applied optimization; critical infrastructure protection; cybersecurity; security
Laura Albert,Emergency response; Maximal multiple coverage problem; Network restoration; OR in disaster relief; Scheduling on parallel servers
Laura Albert,Ambulance dispatching; Markov decision processes; Multiple response; Tiered emergency medical services
Laura Albert,coverage models; critical infrastructure protection; Cyber-security; submodular optimization
Laura Albert,Cybersecurity; infrastructure risk mitigation; robust optimization
Laura Albert,cybersecurity; infrastructure protection; Lagrangian relaxation; network interdiction models
Laura Albert,Interdependent networks; Mixed-integer programming; Optimization; Resilience; Restoration
Laura Albert,call priority; fairness; genetic algorithms; location/allocation in health care; multicriteria
Laura Albert,ambulance location; Coverage model; Cutoff priority queue; Emergency medical services; Hypercube approximation; Simulation
Laura Albert,Bilevel facility location; Facility interdiction and fortification; Network interdiction; Set cover algorithms
Laura Albert,Emergency response; Network restoration; OR in disaster relief; P-median problem; Scheduling on parallel servers
Laura Albert,
Laura Albert,Emergency medical services; Emergency response; Hypercube model approximation; Spatial queues
Laura Albert,analytics; disruptions; interdependencies; networks; Resilience
Laura Albert,District contiguity; Emergency medical services; Expected covering models; Hypercube correction factors; Load balancing; Queuing approximations
Laura Albert,Emergency medical service; Markov queuing model; Nested-compliance table; Relocation
Laura Albert,hypercube model; location/allocation in healthcare; tabu search
Laura Albert,
Laura Albert,Air MEDEVAC asset management; Binary linear programming; Casualty triage; Military medicine; Spatial queuing
Laura Albert,
Laura Albert,Bi-objective optimization; Discrete optimization; Emergency medical service; Facility location
Laura Albert,Emergency medical service; Equity; Location models; p-Envy; Survival function
Laura Albert,Call priorities; Emergency medical service; Multiple-unit dispatch; Simulation
Laura Albert,dispatching; health service; heuristics; patient survivability; simulation
Laura Albert,Energy system optimization; Genetic algorithm; Geothermal power plant; Particle swarm optimization; Simulation-based optimization
Laura Albert,Cargo container security; Linear programming; Multiple-choice knapsack problems; OR in government; Port security
Laura Albert,Emergency medical services; Equity; Linear programming; Markov decision processes; Public health; Server-to-customer systems
Laura Albert,Discrete event simulation; Emergency medical services; Erlang loss models; Regression
Laura Albert,Genetic algorithm; Hypercube model; Location/allocation in healthcare
Laura Albert,dispatching policies; Emergency response; response boundaries; simulation; survival probability
Laura Albert,Emergency medical dispatch; Markov decision processes
Laura Albert,Container screening; Homeland security; Knapsack problem models; Threshold constraints
Laura Albert,Emergency medical services; Nonparametric statistical methods; Public services
Laura Albert,Adversarial risk analysis; Homeland security; Level-kgame theory
Laura Albert,Adversarial risk analysis; Level-k game theory; Robust optimization
Laura Albert,Disaster preparedness; Emergency medical services; Logistic regression; Multiple linear regression; Weather disasters; Zero-inflated Poisson regression
Laura Albert,Dispatching order; EMS; Facility location; Queuing model; Tabu search
Laura Albert,
Laura Albert,Call priority; Dispatching; Emergency medical service; EMS; Markov decision process; MDP; Survival probability
Laura Albert,Aviation security; Goal programming; Knapsack problems; Nuclear terrorism
Laura Albert,Knapsack problem; Linear programming; Port security; Reliability
Laura Albert,Emergency services; equity; facility location; tabu search
Laura Albert,emergency medical dispatch; health policy modeling; Markov decision processes; patient outcomes; performance measures
Laura Albert,
Laura Albert,Health care policy; Preventive medicine; Simulation-optimization; Vaccination; Women's health
Laura Albert,Applications: Terrorism; Multiple-objective decision analysis; Probability: applications
Laura Albert,Discrete optimization; Emergency medical service; Health policy modeling; Patient outcomes; Performance measures
Laura Albert,Covering location model; EMS; Envy; Equity measures; Tabu search
Laura Albert,Aviation security; Dynamic programming; Markov decision processes; Sequential assignment problem
Laura Albert,Emergency medical services; Facility location; Hypercube queuing model; Integer programming
Laura Albert,Aviation security; Feedback linearization; Nonlinear control; Passenger screening; Stochastic systems
Laura Albert,Assignment problems; Dynamic programming; Homeland security; Knapsack problems; Markov decision process
Laura Albert,Discrete event simulation; Hypothesis testing; Multiple comparisons with the best; Ranking and selection; Tabu search
Laura Albert,Dynamic programming; Fully polynomial-time approximation schemes; Knapsack problems
Laura Albert,Fully polynomial-time approximation schemes; Heuristics; Knapsack problem
Laura Albert,Aviation security; Homeland security; Risk analysis; Threat detection
Laura Albert,Aviation security; Discrete optimization; Homelands; Integer programming
Laura Albert,
Laura Albert,Local search algorithms; Search and rescue operations; Simulated annealing; Traveling salesman problem
Laura Albert,Aviation security; Dynamic programming; Heuristics; Integer programming; Policy modeling
Laura Albert,Analysis of algorithms; Markov processes; Probability; Suboptimal algorithms
Laura Albert,Aviation security; Cost analysis; Homeland security; Integer programming models; NP-completeness
Laura Albert,Convergence time; Discretization; Efficiency scheduling; Genetic algorithms; Population sizing; Solution quality; Speedup
Laura Albert,Cooling schedules; Heuristics; Local search algorithms; Simulated annealing
Laura Albert,Aviation security; Homeland security; Integer programming; Knapsack problem
Oguzhan Alagoz,
Oguzhan Alagoz,breast cancer; diagnostic decisions; large-scale dynamic programming; Markov decision processes; overdiagnosis
Oguzhan Alagoz,
Oguzhan Alagoz,life expectancy; low-dose computed tomography; lung cancer; lung cancer risk; medical decision-making; partially observable Markov decision process (POMDP); personalized risk assessment; risk factors; risk prediction; risk-based screening; screening; smoking; uncertainty
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,agent-based modeling; complex contagion; infectious disease; modeling; simulation; tuberculosis
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,Cost-effectiveness; cost-saving; postpartum hypertension; remote blood pressure monitoring; telehealth
Oguzhan Alagoz,area under the curve; blood pressure; cutoffs; hypertensive disorders of pregnancy; postpartum hypertension; readmission prediction; receiver operating characteristic curve; threshold
Oguzhan Alagoz,
Oguzhan Alagoz,Clostridioides difficile; Medicare; Social determinants of health; Socioeconomic disadvantage
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,Down syndrome; mammography; screening; simulation modeling
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,breast cancer; dynamic programming; healthcare analytics; medical decision-making; preferences; risk-sensitive Markov decision processes; utility theory
Oguzhan Alagoz,breast cancer screening; constrained partially observable Markov decision processes; health care applications; medical decision making
Oguzhan Alagoz,agent-based modeling; C. difficile; healthcare epidemiology; infection control; intervention bundles
Oguzhan Alagoz,breast cancer control; breast cancer epidemiology; cancer simulation; simulation models
Oguzhan Alagoz,breast cancer epidemiology; Cancer simulation; ductal carcinoma in situ; simulation models
Oguzhan Alagoz,breast cancer models; CISNET; external validation; mammography trial simulation
Oguzhan Alagoz,breast cancer; incidence; screening; simulation
Oguzhan Alagoz,age-period-cohort modeling; breast cancer; mortality; simulation modeling
Oguzhan Alagoz,
Oguzhan Alagoz,Breast cancer; Costs; Ductal carcinoma in situ; Indolent disease; Prognosis; Quality-adjusted life years
Oguzhan Alagoz,
Oguzhan Alagoz,Age to begin screening; Breast cancer screening; Incidence-based mortality; Mammography; Mammography screening regimens; Quality-adjusted lifeyears; Screening interval
Oguzhan Alagoz,Breast cancer screening; Decision making; Health care policy; Mammography; Simulation modeling
Oguzhan Alagoz,Contact isolation; Health care workers; Human factors; Nosocomial infections; Workflow
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,cancer surveillance; cost-effectiveness; discrete-event simulation; economic evaluation; second primary cancer
Oguzhan Alagoz,active learning; artificial neural networks; calibration; cancer simulation; machine learning
Oguzhan Alagoz,
Oguzhan Alagoz,Adherence behavior; Breast cancer; Dynamic programming; Health policy; Incomplete information; Mammography screening
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,breast imaging; expected utility; genomics; mammography; receiver operating characteristic methodology
Oguzhan Alagoz,
Oguzhan Alagoz,Linear programming; Markov decision process; MDP; Policy iteration; Total expected discounted reward; Treatment optimization
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,agent-based simulation; Clostridium difficile; hospital-acquired infections; infectious disease control; simulation methods
Oguzhan Alagoz,
Oguzhan Alagoz,Breast screening; Health outcomes; Microsimulation model; Preventive health
Oguzhan Alagoz,Breast screening; Economic analysis; Microsimulation model; Preventive health
Oguzhan Alagoz,Breast screening; Incidence; Microsimulation model; Preventive health; Sensitivity; Specificity
Oguzhan Alagoz,breast imaging; expected utility; genetics; mammography; ROC methodology
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,Cancer chemotherapy plan; Markov decision processes (MDP); Mathematical modeling in health care; Optimal control model (OCM); Treatment optimization
Oguzhan Alagoz,Aging; Biopsy; Breast neoplasms; Logistic models; Mammography; Overdiagnosis
Oguzhan Alagoz,
Oguzhan Alagoz,Cancer screening; Colonoscopy; Colorectal cancer prevention and surveillance; Operations research applications in healthcare; Partially observable Markov decision processes; Stochastic modeling
Oguzhan Alagoz,Breast Biopsy; Digital Breast Tomosynthesis; Expected Utility; Mammography; ROC Analysis
Oguzhan Alagoz,BI-RADS; Breast cancer; Decision support; Informatics; Mammography; Mutual information
Oguzhan Alagoz,BI-RADS; Breast cancer diagnosis; Double control limit policy; Mammography interpretation; Markov decision processes; Medical decision making; Practice
Oguzhan Alagoz,calibration; colon cancer; cost-effectiveness; Markov model; stage II
Oguzhan Alagoz,Black women; Breast cancer natural history; Racial disparities; Simulation model; White women
Oguzhan Alagoz,
Oguzhan Alagoz,Breast cancer; Decision analysis; Dynamic programming; Mammography screening; Medical decision making; Partially observable Markov decision processes; Personalized screening
Oguzhan Alagoz,Breast cancer; Constrained MDPs; Cost-effectiveness; Diagnostic decisions; Linear programming; Mammography; Markov decision processes; Medical decision making; Mixed-integer programming; Service operations
Oguzhan Alagoz,decision-analytic modeling; guidelines; Markov models; state-transition modeling
Oguzhan Alagoz,decision-analytic modeling; guidelines; Markov models; state-transition modeling
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,colorectal cancer; discrete event simulation; operations research; simulation methods
Oguzhan Alagoz,disease screening; Medical decision making; treatment
Oguzhan Alagoz,
Oguzhan Alagoz,Markov decision processes; Medical decision making; Research and development
Oguzhan Alagoz,Breast cancer; Calibration; Computer-assisted decisions; Computer-assisted diagnosis; Computer-assisted radiographic image interpretation; Discrimination; Neural networks; Risk assessment
Oguzhan Alagoz,decision analysis; Markov decision processes; Markov processes
Oguzhan Alagoz,breast cancer; computer-aided detection; computer-aided diagnosis; mammography; MRI; ultrasound
Oguzhan Alagoz,Dynamic programming; Game theory; Multi-period game; Secrecy and deception; Signaling game; Truthful disclosure
Oguzhan Alagoz,
Oguzhan Alagoz,
Oguzhan Alagoz,Logistic regression; Mammography; National mammography database; Risk prediction
Oguzhan Alagoz,
Oguzhan Alagoz,"Dynamic programming/optimal control: applications, markov; Health care: treatment"
Oguzhan Alagoz,Aisle; Aisle construction; Facility layout design; Genetic algorithms; Heuristic
Oguzhan Alagoz,Control-limit policy; Dynamic programming; Health-care applications; Markov decision processes; Medical decision making; Optimal stopping; Organ transplantation; Service operations
Oguzhan Alagoz,"Applications and markov: infinite horizon; Dynamic programming/optimal control; Health care, treatment"
Oguzhan Alagoz,
Oguzhan Alagoz,Liver disease; Microsimulation; Natural history; Spline function
Oguzhan Alagoz,Discrete-event simulation; Graft survival; Liver transplantation; Monte Carlo simulation; Organ allocation; Patient survival; Policy analysis; Simulation modeling
Oguzhan Alagoz,
Oguzhan Alagoz,Control-limit policy; Liver transplantation; Markov decision processes; Medical decision making; Organ transplantation; Service operations
Oguzhan Alagoz,Eligibility constraints; Parallel machines; Rescheduling; Scheduling
Alberto Del-pia,Diameter; Lattice polytopes; Simplex algorithm; Strongly polynomial time
Alberto Del-pia,Constant-rank quadratic function; Global optimum; Polynomial-time algorithm; Principal component analysis; Sparsity
Alberto Del-pia,Extended formulations; Hypergraph acyclicity; Multilinear polytope; Polyhedral relaxations; Running intersection property
Alberto Del-pia,k-aggregation closure; Packing polyhedra; Polyhedrality; Well-quasi-ordering
Alberto Del-pia,NP; Polynomial optimization; Rational solutions
Alberto Del-pia,Cover inequalities; Cutting-planes; Multiple knapsack set
Alberto Del-pia,Concave minimization; Integer quadratic programming; Proximity; Quadratic programming; Sensitivity; subdeterminants
Alberto Del-pia,Branch-and-cut; Mixed-integer nonlinear optimization; Multilinear polytope; Polynomial optimization; Running-intersection inequalities; Separation algorithm
Alberto Del-pia,Linear least squares; Polynomial-time algorithm; Sparsity; Subset selection
Alberto Del-pia,Approximation algorithm; Concave function; Integer quadratic programming; Subdeterminants; Total bimodularity; Total unimodularity
Alberto Del-pia,Convex functions; Mixed-integer programming; Quadratic programming; Representability
Alberto Del-pia,Covering; Integer programming; Lattice-free rank; Multi-branch split rank; Packing; Split rank
Alberto Del-pia,Ellipsoidal constraints; Mixed-integer programming; Quadratic programming; Representability
Alberto Del-pia,Approximation algorithms; Mixed-integer quadratic programming
Alberto Del-pia,Aggregation; Covering; Cutting planes; Integer programming; Packing
Alberto Del-pia,Convex hull; Decomposition; Factorable relaxations; Multilinear functions; Polynomial-time algorithm; Zero–one polynomial optimization
Alberto Del-pia,Bidirected graphs; Combinatorial optimization; Edmonds–Johnson property; Excluded minors; Integer programming; Strong Chvátal rank
Alberto Del-pia,Binary polynomial optimization; Cutting planes; Lifting; Multilinear functions; Polyhedral relaxations
Alberto Del-pia,
Alberto Del-pia,Cutting planes; Disjunctive programming; Lattice-free polyhedra; Mixed integer programming
Alberto Del-pia,Diameter; Lattice polytope; Linear programming
Alberto Del-pia,
Alberto Del-pia,
Alberto Del-pia,Cutting planes; Integer hull; Integer programming; Split inequalities; Split rank
Alberto Del-pia,Chvátal rank; Chvátal-Gomory closure; Cutting plane; Integral polyhedron
Alberto Del-pia,
Alberto Del-pia,
Alberto Del-pia,Disjunctive programming; Mixed integer programming; Polyhedral relaxations
Alberto Del-pia,Affine hull; Chv?atal rank; Chv?atal-gomory closure; Cutting plane; Integral polyhedron
Alberto Del-pia,
Alberto Del-pia,Convergence; Cutting planes; Disjunctive programming; Lattice-free polyhedra; Mixed integer programming; Split cuts
Alberto Del-pia,Convexity; Intractability; Nonlinear discrete optimization; Strongly convex functions
Alberto Del-pia,Cutting planes; Disjunctive programming; Lattice-free polyhedral; Mixed integer programming; Rank
Alberto Del-pia,Cutting planes; Disjunctive programming; Lattice-free polyhedra; Mixed integer programming
Alberto Del-pia,Cutting plane; Mixed integer; Probabilistic; Strength
Alberto Del-pia,Combinatorial optimization; Edmonds-Johnson property; Integer programming; Strong Chvátal rank; Total dual integrality
Alberto Del-pia,Cut-rank; Integral polyhedra; Total dual integrality; Totally unimodular matrices
Alberto Del-pia,Arc routing; Heuristics; Variable neighborhood search; Waste collection
Jeffrey Linderoth,Open-pit mining operations; Optimization; Simulation; Truck dispatching
Jeffrey Linderoth,Benchmarking; Instance library; MIP; Mixed integer linear optimization; Selection methodology
Jeffrey Linderoth,Hydraulic fracturing; Mixed-integer programming; Production scheduling; Rolling horizon; Shale oil
Jeffrey Linderoth,Global optimization; Mixed-integer nonlinear programming; Software
Jeffrey Linderoth,k-aggregation closure; Packing polyhedra; Polyhedrality; Well-quasi-ordering
Jeffrey Linderoth,Cover inequalities; Cutting-planes; Multiple knapsack set
Jeffrey Linderoth,Dimensional reduction; Discourse; ENA; Epistemic network analysis; Network visualization; Quantitative ethnography
Jeffrey Linderoth,Convex hull; Global optimization; Multilinear; Piecewise polyhedral relaxations
Jeffrey Linderoth,Bilinear optimization; Nonconvex optimization; Pooling problem; Valid inequalities
Jeffrey Linderoth,
Jeffrey Linderoth,Boolean Quadric Polytope; Global optimization; Nonconvex quadratic programming
Jeffrey Linderoth,Frank–Wolfe method; Lagrangian duality; Mixed-integer stochastic programming; Progressive hedging
Jeffrey Linderoth,Extended formulations; Lift-and-project cuts; Mixed-integer nonlinear programming
Jeffrey Linderoth,cognitive modeling; decision-making; design cognition; fuzzy numbers
Jeffrey Linderoth,Cascading blackout; high throughput computing; optimization
Jeffrey Linderoth,Portfolio optimization; Quadratic integer programming; Second-order cone relaxations
Jeffrey Linderoth,Debugging; Mixed integer linear optimization; Program coverage
Jeffrey Linderoth,Cutting plane/facets; Electric industries; Integer programming
Jeffrey Linderoth,
Jeffrey Linderoth,Global optimization; Mixed integer nonlinear programming; Valid inequalities
Jeffrey Linderoth,Linear programming; Markov decision process; MDP; Policy iteration; Total expected discounted reward; Treatment optimization
Jeffrey Linderoth,
Jeffrey Linderoth,Disjunctive inequalities; Mixed-integer nonlinear programming; Mixing inequalities; Strong-branching
Jeffrey Linderoth,Mixed integer nonlinear programming; Piecewise linear approximation; Production planning
Jeffrey Linderoth,Indicator variables; Mixed-integer programming; Piecewise linear function
Jeffrey Linderoth,
Jeffrey Linderoth,Mixed integer quadratic programming; Perspective reformulation; Semidefinite programming; Valid inequalities
Jeffrey Linderoth,Congestion; Detailed routing; Global routing
Jeffrey Linderoth,
Jeffrey Linderoth,Bilinear function; Global optimization; Multilinear function
Jeffrey Linderoth,Antithetic variates; Latin Hypercube sampling; Sample average approximation; Stochastic programming
Jeffrey Linderoth,
Jeffrey Linderoth,global optimization; Integer programming; pooling; valid inequalities
Jeffrey Linderoth,
Jeffrey Linderoth,
Jeffrey Linderoth,Branch-and-bound algorithms; Integer programming; Steiner Triple Systems; Symmetry
Jeffrey Linderoth,Cybersecurity; Integer optimization; Multiobjective; Network; Optimization
Jeffrey Linderoth,
Jeffrey Linderoth,Branch-and-bound algorithms; Integer programming; Symmetry
Jeffrey Linderoth,
Jeffrey Linderoth,Global Routing; Integer Programming; Parallelism
Jeffrey Linderoth,LP/NLP-based branch and bound; Mixed-integer nonlinear programming; Outer approximation
Jeffrey Linderoth,Mixed-integer nonlinear programming; Perspective functions
Jeffrey Linderoth,Categorical variables; Mixed integer nonlinear programming; Modeling with binary variables; Thermal insulation systems
Jeffrey Linderoth,Global routing; Integer programming
Jeffrey Linderoth,Branch and bound; Condor; Football pool problem; High-throughput computing; Master-worker
Jeffrey Linderoth,
Jeffrey Linderoth,Enterprise-wide optimization; Simulation-optimization
Jeffrey Linderoth,Interdiction; L-shaped method; Sample average approximation; Stochastic programming
Jeffrey Linderoth,
Jeffrey Linderoth,
Jeffrey Linderoth,
Jeffrey Linderoth,
Jeffrey Linderoth,Combinatorial optimization on computational grids; Knapsack computation by Condor glide-in mechanism; Master-worker based parallel algorithms on computational grids
Jeffrey Linderoth,Computational grid; Monte Carlo sampling; Optimality gap; Recourse; Sample average approximations; Statistical KKT test; Stochastic linear programming
Jeffrey Linderoth,Branch-and-bound; Convex envelope; Global optimization; Nonconvex quadratic programming
Jeffrey Linderoth,
Jeffrey Linderoth,
Jeffrey Linderoth,Branch and bound; Computational grid; Metacomputing; Quadratic assignment problem
Jeffrey Linderoth,Branch and cut; Cardinality constrained circuit problem; Circuit polytope
Jeffrey Linderoth,Condor; Integer programming; Parallel programming; PVM
Jeffrey Linderoth,Linear Programming-based Heuristics; Parallel Computing; Set Partitioning
Jeffrey Linderoth,
Jeffrey Linderoth,Application software; Computer applications; Computer science; Concurrent computing; Grid computing; Laboratories; Mathematics; Pervasive computing; Robustness; Software tools
Kaibo Liu,Bandwidth; Costs; Data acquisition; Data categorization; heterogeneous data streams; mean shift detection; Monitoring; partial observations; Process control; Process monitoring; Real-time systems; Thompson sampling (TS).
Kaibo Liu,
Kaibo Liu,IoT network system; Multivariate spatio-temporal autoregressive model; network structure learning; spatio-temporal control schemes
Kaibo Liu,Asynchronous signals; data fusion; Degradation; failure time prediction; Feature extraction; local linear regression; Modeling; multiple failure modes.; Prognostics and health management; Sensor fusion; Sensor phenomena and characterization; Sensors
Kaibo Liu,Adaptive LASSO; Collusion; Crowdsourcing; Pairwise profile likelihood
Kaibo Liu,Degradation modeling; neural network-based prognostics; recurrent neural network; RUL prediction
Kaibo Liu,Atmospheric modeling; Data integration; Data models; Deep learning; Degradation; Health index (HI); Indexes; indirect gradient descent (IGD); multiple sensor signals prognostics; Predictive models; remaining useful lifetime (RUL).
Kaibo Liu,Degradation; Drugs; Hazards; Multivariate Gaussian process (MGP); predictive analytics; Predictive models; Prognostics and health management; remaining useful lifetime (RUL) distribution; Task analysis; Transfer learning; transfer learning.
Kaibo Liu,Adaptive strategy; corrective maintenance (CM); job sequence; preventive maintenance (PM); total cost
Kaibo Liu,MCMC sampling; Origin-destination pairs; Real-time prediction; Spatiotemporal correlation; Traffic demand
Kaibo Liu,cumulative sum (CUSUM); data augmentation; partial observations; rank-based monitoring; statistical process control (SPC)
Kaibo Liu,
Kaibo Liu,Dynamic thermal field; field multitask learning (FML); spatiotemporal dependence
Kaibo Liu,Sensor data; spatiotemporal thermal field; time-varying parameters; two-level regression model
Kaibo Liu,3D thermal field; spatiotemporal prediction; transfer learning
Kaibo Liu,Bayesian neural network; multiple failure modes; multiple operational conditions; multiple sensors; prognostics; variational inference
Kaibo Liu,Dynamic inspection (DI); state-space models (SSMs)
Kaibo Liu,Data fusion; degradation modeling; health index (HI); multisensor; predictive data analysis; prognostics
Kaibo Liu,3D nonlinear dynamics model; Field estimation; Gaussian Markov random field; spatiotemporal model
Kaibo Liu,Big data; local extrema; raw simulation data; spatial and temporal domains
Kaibo Liu,Bayesian network (BN); conditional probability; directional shift; latent variables; statistical process control
Kaibo Liu,Asynchronous sensor signals; data fusion; sensor selection
Kaibo Liu,Collaborative model; condition monitoring; dissimilarity; healthcare; predictive analytics; prognostics; recommender system
Kaibo Liu,Indirect supervised learning; multisensor fusion; quantile regression
Kaibo Liu,Condition monitoring; data fusion; health index; kernel methods; prognostic analysis
Kaibo Liu,Collaborative learning; degradation modeling; regression; sparse and irregular measurements
Kaibo Liu,Distribution-free; Multivariate CUSUM procedure; Partial observations; Process change detection; Statistical process control
Kaibo Liu,Big data streams; Cumulative-sum statistics; High-dimensional and high-frequency data; Partial information; Scalable monitoring schemes; Statistical process control
Kaibo Liu,Big data; Condition monitoring; Data fusion; Health index; Multiple sensors
Kaibo Liu,Condition monitoring; degradation modeling; fault diagnosis; multiple failure modes; prognostics; remaining life assessment
Kaibo Liu,Distribution-free; Multivariate CUSUM Procedure; Partial Observations; Process Change Detection; Statistical Process Control
Kaibo Liu,Data fusion; degradation modeling; degradation signal; health index; prognostics; signal-To-noise ratio (SNR)
Kaibo Liu,Degradation-based control; multi-unit systems; prognostics; residual life prediction; stochastic degradation model
Kaibo Liu,
Kaibo Liu,Bayesian network; Conditional probability; Contingency table; Directional shift; Statistical process control
